1;Jakie narzędzia musi użyć Tux, aby przeciąć kable zasilające?;Nożyce do kabli;Młotek;Śrubokręt;Piła tarczowa;Nożyce do kabli
2;Jaka część kampusu Microsoftu powinna być zaatakowana jako pierwsza?;Centrum badawcze;Biblioteka;Hala sportowa;Biura dyrekcji;Centrum badawcze
3;Kto stoi na drodze Tuxowi przy wejściu głównym?;Ochroniarze Microsoftu;Bill Gates;Steve Ballmer;Satya Nadella;Ochroniarze Microsoftu
4;Jak Tux ma przemknąć się niezauważenie po terenie kampusu?;W przebraniu ochroniarza;Ukryty w krzakach;Biegnąc szybko;Podając się za dostawcę pizzy;W przebraniu ochroniarza
5;Jakie narzędzia Tux musi wykorzystać, aby przeprogramować komputery i serwery Microsoftu?;Specjalne narzędzia do hackowania;Młotek;Piła tarczowa;Klej do papieru;Specjalne narzędzia do hackowania
6;Które narzędzia Tux powinien wykorzystać, aby stawić czoła ochroniarzom Microsoftu?;Klawiatura do atakowania;Mysz do przemieszczania się;Nożyce do kabli;Młotek;Klawiatura do atakowania
7;Kto jest ostatnią linią obrony przed Tuxem?;Bill Gates;Steve Ballmer;Satya Nadella;Nikt, Tux ma wolną drogę;Bill Gates
8;Co się stanie, gdy Tux zdobędzie kontrolę nad wszystkimi budynkami na terenie kampusu Microsoftu?;Linux staje się dominującym systemem operacyjnym w całym świecie;Windows staje się dominującym systemem operacyjnym w całym świecie;Apple staje się dominującym systemem operacyjnym w całym świecie;Nic się nie zmieni;Linux staje się dominującym systemem operacyjnym w całym świecie
9;Jakie zwierzę jest maskotką systemu operacyjnego Linux?;Pingwin;Słoń;Kot;Krokodyl;Pingwin
10;Co Tux powinien zrobić, aby zdominować Microsoft?;Zaprzestać ataków;Zgłosić się na wolontariat w firmie;Współpracować z Microsoftem;Zdobyć kontrolę nad wszystkimi komputerami i serwerami Microsoftu;Zdobyć kontrolę nad wszystkimi komputerami i serwerami Microsoftu
11;Jakie narzędzia Tux musi wykorzystać, aby przeprogramować wszystkie komputery w sieci Microsoftu?;Specjalne narzędzia do hackowania;Młotek;Piła tarczowa;Klej do papieru;Specjalne narzędzia do hackowania
12;Które narzędzia Tux powinien wykorzystać, aby wygrać walkę z ochroniarzami Microsoftu?;Mysz do przemieszczania się;Nożyce do kabli;Młotek;Klawiatura do atakowania;Klawiatura do atakowania
13;Co musi zrobić Tux, aby uzyskać dostęp do tajnego laboratorium Microsoftu?;Znaleźć klucz;Prześlizgnąć się przez wentylację;Podać się za pracownika;Przekroczyć drzwi zamknięte na klucz;Znaleźć klucz
14;Jak Tux może przekonać pracowników Microsoftu, aby pomogli mu w podbiciu firmy?;Obiecać im podwyżki;Zagrać na emocjach i patriotyzmie;Zagrać na ich lękach;Przestraszyć ich groźbą użycia broni;Zagrać na emocjach i patriotyzmie
15;Jakie są cele Tuxa podbijającego Microsoft?;Uzyskanie kontroli nad rynkiem systemów operacyjnych;Zgładzenie dyrekcji Microsoftu;Zdobycie ogromnej ilości pieniędzy;Dobicie się do pracy w Microsoft;Uzyskanie kontroli nad rynkiem systemów operacyjnych
